model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,0,4,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,0,4,100,0.7100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,0,4,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,0,4,100,0.1500
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,0,4,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,0,4,100,0.5556
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,0,4,100,0.3000
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,0,4,100,0.2600
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,1,4,100,0.3200
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,1,4,100,0.6800
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,1,4,100,0.5900
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,1,4,100,0.3400
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,1,4,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,1,4,100,0.4949
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,1,4,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,1,4,100,0.1900
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,2,4,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,2,4,100,0.6500
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,2,4,100,0.6100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,2,4,100,0.2000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,2,4,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,2,4,100,0.5354
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,2,4,100,0.1900
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,2,4,100,0.1600
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,3,4,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,3,4,100,0.7500
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,3,4,100,0.6600
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,3,4,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,3,4,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,3,4,100,0.5556
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,3,4,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,3,4,100,0.1900
